Entry,Entry Name,Gene Names,Protein names,Organism,Subcellular location [CC],Gene Ontology (cellular component),Gene Ontology IDs,Ensembl
C9JPE1,C9JPE1_HUMAN,SLC25A20,Solute carrier family 25 member 20,Homo sapiens (Human),SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000256|ARBA:ARBA00004225}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004225}.,cytosol [GO:0005829]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],GO:0005739; GO:0005829; GO:0031966,ENST00000430379.5;
Q546D7,Q546D7_HUMAN,AMBN,Ameloblastin,Homo sapiens (Human),"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000256|ARBA:ARBA00004498}.",extracellular region [GO:0005576],GO:0005576; GO:0030345; GO:0031214; GO:0042475,
J3QQW9,J3QQW9_HUMAN,SUZ12,SUZ12 polycomb repressive complex 2 subunit,Homo sapiens (Human),,nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654],GO:0005654; GO:0005730; GO:0006325; GO:0008270; GO:0016604,ENST00000580398.2;
C9J119,C9J119_HUMAN,PLEKHM3,Pleckstrin homology domain-containing family M member 3,Homo sapiens (Human),SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004236}. Cytoplasm {ECO:0000256|ARBA:ARBA00004496}. Golgi apparatus {ECO:0000256|ARBA:ARBA00004555}.,,GO:0008270,ENST00000457206.1;
A0A0C4DGI8,A0A0C4DGI8_HUMAN,DTX3,E3 ubiquitin-protein ligase (EC 2.3.2.27),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|RuleBase:RU367105}.,cytoplasm [GO:0005737],GO:0005737; GO:0007219; GO:0008270; GO:0016567; GO:0061630,ENST00000548478.1;
A0A140VJM4,A0A140VJM4_HUMAN,KCTD12 hCG_1646360,Potassium channel tetramerisation domain containing 12 (Testicular tissue protein Li 100),Homo sapiens (Human),SUBCELLULAR LOCATION: Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034100}. Presynaptic cell membrane {ECO:0000256|ARBA:ARBA00034111}.,postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734],GO:0034220; GO:0042734; GO:0042802; GO:0045211; GO:0051260,
C9JJ68,C9JJ68_HUMAN,DHFR2,dihydrofolate reductase (EC 1.5.1.3),Homo sapiens (Human),,mitochondrion [GO:0005739],GO:0004146; GO:0005739; GO:0046654; GO:0050661,ENST00000496983.1;
F8VUZ4,F8VUZ4_HUMAN,DTX3,E3 ubiquitin-protein ligase (EC 2.3.2.27),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|RuleBase:RU367105}.,cytoplasm [GO:0005737],GO:0005737; GO:0007219; GO:0008270; GO:0016567; GO:0061630,ENST00000549583.5;
H0YHF9,H0YHF9_HUMAN,DTX3,E3 ubiquitin-protein ligase (EC 2.3.2.27),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|RuleBase:RU367105}.,cytoplasm [GO:0005737],GO:0005737; GO:0007219; GO:0008270; GO:0016567; GO:0061630,ENST00000550300.1;
A0A9L9PX09,A0A9L9PX09_HUMAN,POGLUT3,Protein O-glucosyltransferase 3,Homo sapiens (Human),,endoplasmic reticulum [GO:0005783],GO:0005783; GO:0016757,ENST00000706523.1;
A0A9L9PY40,A0A9L9PY40_HUMAN,POGLUT3,Protein O-glucosyltransferase 3,Homo sapiens (Human),,endoplasmic reticulum [GO:0005783],GO:0005783; GO:0016757,ENST00000706524.1;
C9K020,C9K020_HUMAN,WDR6,tRNA (34-2'-O)-methyltransferase regulator WDR6 (WD repeat-containing protein 6),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,cytosol [GO:0005829]; plasma membrane [GO:0005886],GO:0005829; GO:0005886; GO:0008033,ENST00000438660.5;
H3BP11,H3BP11_HUMAN,MAF,Transcription factor Maf,Homo sapiens (Human),,nucleus [GO:0005634],GO:0003677; GO:0003700; GO:0005634,ENST00000569649.1;
Q6PKC6,Q6PKC6_HUMAN,WDR6,tRNA (34-2'-O)-methyltransferase regulator WDR6 (WD repeat-containing protein 6),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,cytoplasm [GO:0005737],GO:0005737; GO:0008033,
A0A1W2PQV3,A0A1W2PQV3_HUMAN,GLDC,glycine dehydrogenase (aminomethyl-transferring) (EC 1.4.4.2),Homo sapiens (Human),,,GO:0004375; GO:0006546,ENST00000639318.1;
A0A8I5JYA4,A0A8I5JYA4_HUMAN,ZNF713 hCG_1984214,"HCG1984214, isoform CRA_c (Zinc finger protein 713)",Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.,nucleus [GO:0005634],GO:0003677; GO:0005634; GO:0006355; GO:0008270,ENST00000633730.1;
A0A1W2PP74,A0A1W2PP74_HUMAN,GLDC,glycine dehydrogenase (aminomethyl-transferring) (EC 1.4.4.2),Homo sapiens (Human),,,GO:0004375; GO:0006546,ENST00000638661.1;
B7ZBA4,B7ZBA4_HUMAN,ZC3H12D,Zinc finger CCCH-type containing 12D,Homo sapiens (Human),,cytoplasmic ribonucleoprotein granule [GO:0036464]; nucleoplasm [GO:0005654],GO:0004519; GO:0005654; GO:0008270; GO:0036464,ENST00000409948.1;
B4DFW2,B4DFW2_HUMAN,TIMP2 hCG_95573,Metalloproteinase inhibitor 2 (Tissue inhibitor of metalloproteinases 2),Homo sapiens (Human),SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,extracellular region [GO:0005576],GO:0005576; GO:0008191,ENST00000536189.6;ENST00000585421.5;ENST00000586057.5;ENST00000586713.6;
E9PPG3,E9PPG3_HUMAN,GRINA,Glutamate ionotropic receptor NMDA type subunit associated protein 1,Homo sapiens (Human),SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,membrane [GO:0016020],GO:0016020,ENST00000529301.5;
H0YEI4,H0YEI4_HUMAN,GRINA,Glutamate ionotropic receptor NMDA type subunit associated protein 1,Homo sapiens (Human),SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,membrane [GO:0016020],GO:0016020,ENST00000534791.5;
E9PBK6,E9PBK6_HUMAN,WDR6,tRNA (34-2'-O)-methyltransferase regulator WDR6 (WD repeat-containing protein 6),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,cytoplasm [GO:0005737],GO:0005737; GO:0008033,ENST00000415265.6;
H3BUN7,H3BUN7_HUMAN,SH2B1,SH2B adaptor protein 1,Homo sapiens (Human),,,GO:0007165; GO:0035591,ENST00000569651.1;
E9PDU5,E9PDU5_HUMAN,WDR6,tRNA (34-2'-O)-methyltransferase regulator WDR6 (WD repeat-containing protein 6),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,cytosol [GO:0005829]; plasma membrane [GO:0005886],GO:0005829; GO:0005886; GO:0008033,ENST00000448293.5;
A0A087X295,A0A087X295_HUMAN,WDR6,tRNA (34-2'-O)-methyltransferase regulator WDR6 (WD repeat-containing protein 6),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,cytosol [GO:0005829]; plasma membrane [GO:0005886],GO:0005829; GO:0005886; GO:0008033,ENST00000395474.7;ENST00000610967.4;
C9JP82,C9JP82_HUMAN,SPAG11B SPAG11A,Sperm associated antigen 11A (Sperm associated antigen 11B),Homo sapiens (Human),,,,ENST00000454911.6;ENST00000710644.1;
A0A1W2PPK8,A0A1W2PPK8_HUMAN,GLDC,Glycine decarboxylase,Homo sapiens (Human),,,,ENST00000463305.1;
A0A9L9PY45,A0A9L9PY45_HUMAN,CEP295NL,CEP295 N-terminal like,Homo sapiens (Human),,,,ENST00000590267.6;
E7EN18,E7EN18_HUMAN,CSRNP3,Cysteine and serine rich nuclear protein 3,Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.,nucleus [GO:0005634],GO:0005634; GO:0006915,ENST00000421875.5;
E9PSE7,E9PSE7_HUMAN,PARP10,Poly(ADP-ribose) polymerase family member 10,Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,,GO:0003676,ENST00000528914.5;
F8WDR8,F8WDR8_HUMAN,MCMDC2,Minichromosome maintenance domain containing 2,Homo sapiens (Human),,,,ENST00000415737.1;
A0A1Y8EH36,A0A1Y8EH36_HUMAN,DTX3,Deltex E3 ubiquitin ligase 3,Homo sapiens (Human),,,,ENST00000550596.5;
B4DXX4,B4DXX4_HUMAN,MCMDC2 C8orf45 hCG_2039391,Minichromosome maintenance domain-containing protein 2,Homo sapiens (Human),,,GO:0003677; GO:0005524,ENST00000313616.5;
H3BTK4,H3BTK4_HUMAN,SH2B1,SH2B adaptor protein 1,Homo sapiens (Human),,,GO:0007165; GO:0035591,ENST00000566209.1;
K7EPW2,K7EPW2_HUMAN,ZNF223,Zinc finger protein 223,Homo sapiens (Human),,,GO:0006355,ENST00000585552.5;
Q5QPD0,Q5QPD0_HUMAN,NT5DC1,5'-nucleotidase domain containing 1,Homo sapiens (Human),,,GO:0016787,ENST00000419791.3;
V9GY20,V9GY20_HUMAN,P4HTM,"Prolyl 4-hydroxylase, transmembrane",Homo sapiens (Human),,,GO:0046872,ENST00000491739.5;
A0A0A0MR37,A0A0A0MR37_HUMAN,SPAG11B SPAG11A,Sperm associated antigen 11A (Sperm associated antigen 11B),Homo sapiens (Human),SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,extracellular region [GO:0005576],GO:0005576,ENST00000326558.9;ENST00000645125.2;
C9JI46,C9JI46_HUMAN,LCORL MLR1 hCG_1660774,"Ligand dependent nuclear receptor corepressor like (Transcription factor MLR1, isoform CRA_b)",Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|PROSITE-ProRule:PRU00320}.",nucleus [GO:0005634],GO:0003677; GO:0005634,ENST00000382224.5;
E5RH89,E5RH89_HUMAN,ZNF354B,Zinc finger protein 354B,Homo sapiens (Human),,,GO:0006355,ENST00000520377.1;
K7EQ32,K7EQ32_HUMAN,ZNF223,Zinc finger protein 223,Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.,,GO:0008270,ENST00000591850.1;
E9PQY0,E9PQY0_HUMAN,FAM220A,Family with sequence similarity 220 member A,Homo sapiens (Human),,,,ENST00000524898.2;
F8WD84,F8WD84_HUMAN,ZNF713,Zinc finger protein 713,Homo sapiens (Human),,,,ENST00000411863.2;
H0YDA5,H0YDA5_HUMAN,NT5DC1,5'-nucleotidase domain-containing protein 1,Homo sapiens (Human),,,GO:0016787,ENST00000460749.1;
K7ELH1,K7ELH1_HUMAN,PARD6G,Par-6 family cell polarity regulator gamma,Homo sapiens (Human),,cytoplasm [GO:0005737],GO:0005737,ENST00000463384.1;
K7ER65,K7ER65_HUMAN,ZNF223,Zinc finger protein 223,Homo sapiens (Human),,,GO:0006355,ENST00000593088.5;
A0A1B0GVP4,A0A1B0GVP4_HUMAN,LCORL,Ligand dependent nuclear receptor corepressor like,Homo sapiens (Human),,,,ENST00000635767.2;
D6RA10,D6RA10_HUMAN,LCORL,Ligand dependent nuclear receptor corepressor like,Homo sapiens (Human),,,,ENST00000510451.5;
E9PQC6,E9PQC6_HUMAN,FAM220A,Family with sequence similarity 220 member A,Homo sapiens (Human),,,,ENST00000530143.2;
H0YEM3,H0YEM3_HUMAN,POGLUT3,Protein O-glucosyltransferase 3,Homo sapiens (Human),,,GO:0006486,ENST00000530318.1;
H7C0J9,H7C0J9_HUMAN,PLEKHM3,Pleckstrin homology domain containing M3,Homo sapiens (Human),,,GO:0008270,ENST00000447645.5;
A0A0C4DGS7,A0A0C4DGS7_HUMAN,P4HTM,"Prolyl 4-hydroxylase, transmembrane",Homo sapiens (Human),,membrane [GO:0016020],GO:0016020,ENST00000475629.5;
A0A6Q8PHT2,A0A6Q8PHT2_HUMAN,LCORL,Ligand dependent nuclear receptor corepressor like,Homo sapiens (Human),,,,ENST00000674942.1;
E9PLG0,E9PLG0_HUMAN,GEN1,GEN1 Holliday junction 5' flap endonuclease,Homo sapiens (Human),,,GO:0004520; GO:0006310,ENST00000524465.5;
E9PM30,E9PM30_HUMAN,GEN1,GEN1 Holliday junction 5' flap endonuclease,Homo sapiens (Human),,,GO:0004520; GO:0006310,ENST00000532257.1;
F8W732,F8W732_HUMAN,ZNF366,Zinc finger protein 366,Homo sapiens (Human),,,,ENST00000414109.2;
H7C153,H7C153_HUMAN,P4HTM,"Prolyl 4-hydroxylase, transmembrane",Homo sapiens (Human),,membrane [GO:0016020],GO:0016020; GO:0031418; GO:0046872,ENST00000444213.5;
A0A087WXY3,A0A087WXY3_HUMAN,GEN1,GEN1 Holliday junction 5' flap endonuclease,Homo sapiens (Human),,,,ENST00000534451.2;
A0A1W2PQU6,A0A1W2PQU6_HUMAN,GLDC,Glycine decarboxylase,Homo sapiens (Human),,,GO:0004375; GO:0006546,ENST00000640208.1;
A0ABB0MVH3,A0ABB0MVH3_HUMAN,CD28,CD28 molecule,Homo sapiens (Human),,,,ENST00000718458.1;
A0A1W2PPB1,A0A1W2PPB1_HUMAN,GLDC,Glycine decarboxylase,Homo sapiens (Human),,,GO:0004375; GO:0006546,ENST00000639639.1;
C9J4B8,C9J4B8_HUMAN,AMER3,APC membrane recruitment protein 3,Homo sapiens (Human),SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004202}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004202}.,plasma membrane [GO:0005886],GO:0005886; GO:0008289; GO:0016055,ENST00000431758.2;
C9JS07,C9JS07_HUMAN,AMER3,APC membrane recruitment protein 3,Homo sapiens (Human),SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004202}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004202}.,plasma membrane [GO:0005886],GO:0005886; GO:0008289; GO:0016055,ENST00000458606.6;
E9PLE8,E9PLE8_HUMAN,PARP10,Poly(ADP-ribose) polymerase family member 10,Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,,,ENST00000532311.5;
F8WEF6,F8WEF6_HUMAN,SLC25A20,Solute carrier family 25 member 20,Homo sapiens (Human),SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,membrane [GO:0016020],GO:0016020,ENST00000440964.1;
H0Y4Y6,H0Y4Y6_HUMAN,ZC3H12D,Zinc finger CCCH-type containing 12D,Homo sapiens (Human),,,,ENST00000458251.1;
A0A1W2PPG0,A0A1W2PPG0_HUMAN,GLDC,Glycine decarboxylase,Homo sapiens (Human),,,GO:0004375; GO:0006546,ENST00000639020.1;
A0A6Q8PFT7,A0A6Q8PFT7_HUMAN,LCORL,Ligand dependent nuclear receptor corepressor like,Homo sapiens (Human),,,GO:0003677,ENST00000675605.1;
A0A6Q8PHE0,A0A6Q8PHE0_HUMAN,LCORL,Ligand dependent nuclear receptor corepressor like,Homo sapiens (Human),,,,ENST00000675143.1;
A0A9L9PXH9,A0A9L9PXH9_HUMAN,CEP295NL,CEP295 N-terminal like,Homo sapiens (Human),,,,ENST00000587052.1;
B8ZZD9,B8ZZD9_HUMAN,CSRNP3,Cysteine and serine rich nuclear protein 3,Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.,nucleus [GO:0005634],GO:0005634; GO:0006915,ENST00000409664.5;
J3KQ49,J3KQ49_HUMAN,CSRNP3,Cysteine and serine rich nuclear protein 3,Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.,nucleus [GO:0005634],GO:0005634; GO:0006915,ENST00000409420.1;
A0A1W2PPD7,A0A1W2PPD7_HUMAN,GLDC,Glycine decarboxylase,Homo sapiens (Human),,,,ENST00000638274.1;
A0A1W2PPE1,A0A1W2PPE1_HUMAN,GLDC,Glycine decarboxylase,Homo sapiens (Human),,,GO:0004375; GO:0006546,ENST00000638654.1;
A0A1W2PPH6,A0A1W2PPH6_HUMAN,GLDC,glycine dehydrogenase (aminomethyl-transferring) (EC 1.4.4.2),Homo sapiens (Human),,,GO:0004375; GO:0006546,ENST00000639840.1;
E5RFX3,E5RFX3_HUMAN,WDR6,WD repeat domain 6,Homo sapiens (Human),,,,ENST00000420783.7;
E9PQF8,E9PQF8_HUMAN,GRINA,Glutamate ionotropic receptor NMDA type subunit associated protein 1,Homo sapiens (Human),,,,ENST00000530898.1;
F8WE36,F8WE36_HUMAN,WDR6,WD repeat domain 6,Homo sapiens (Human),,,,ENST00000452875.5;ENST00000627177.1;
H0YC98,H0YC98_HUMAN,GRINA,Glutamate ionotropic receptor NMDA type subunit associated protein 1,Homo sapiens (Human),SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,membrane [GO:0016020],GO:0016020,ENST00000527194.5;
H0YCP9,H0YCP9_HUMAN,GRINA,Glutamate ionotropic receptor NMDA type subunit associated protein 1,Homo sapiens (Human),SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,membrane [GO:0016020],GO:0016020,ENST00000533044.5;
V9GYK5,V9GYK5_HUMAN,P4HTM,"Prolyl 4-hydroxylase, transmembrane",Homo sapiens (Human),,,GO:0046872,ENST00000472796.2;
B4DLN5,B4DLN5_HUMAN,SH2B1,"SH2B adaptor protein 1 (cDNA FLJ59336, highly similar to Homo sapiens SH2-B homolog (SH2B), mRNA)",Homo sapiens (Human),,,GO:0007165; GO:0035591,ENST00000538342.5;
F8VV96,F8VV96_HUMAN,DTX3,Deltex E3 ubiquitin ligase 3,Homo sapiens (Human),,,,ENST00000551835.5;
H3BPB4,H3BPB4_HUMAN,SH2B1,SH2B adaptor protein 1,Homo sapiens (Human),,,,ENST00000567536.5;
A0A2R8Y853,A0A2R8Y853_HUMAN,SPAG11A,Sperm associated antigen 11A,Homo sapiens (Human),SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,extracellular region [GO:0005576],GO:0005576,ENST00000642566.2;
C9IZU7,C9IZU7_HUMAN,SPAG11A,Sperm associated antigen 11A,Homo sapiens (Human),SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,extracellular region [GO:0005576],GO:0005576; GO:0042742,ENST00000326625.5;
F5GXU7,F5GXU7_HUMAN,SH2B1,SH2B adaptor protein 1,Homo sapiens (Human),,,GO:0007165; GO:0035591,ENST00000545570.5;
H3BPZ4,H3BPZ4_HUMAN,SH2B1,SH2B adaptor protein 1,Homo sapiens (Human),,,GO:0007165; GO:0035591,ENST00000566176.5;
H3BVF6,H3BVF6_HUMAN,SH2B1,SH2B adaptor protein 1,Homo sapiens (Human),,,GO:0007165; GO:0035591,ENST00000563591.5;
V9GZ65,V9GZ65_HUMAN,WDR6,WD repeat domain 6,Homo sapiens (Human),,,,ENST00000491365.1;
A0A0B4J218,A0A0B4J218_HUMAN,SPAG11A SPAG11B,Sperm associated antigen 11A (Sperm associated antigen 11B),Homo sapiens (Human),SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,extracellular region [GO:0005576],GO:0005576,ENST00000525884.1;ENST00000528767.1;ENST00000710643.1;ENST00000711411.1;
E9PIA6,E9PIA6_HUMAN,PARP10,Poly(ADP-ribose) polymerase family member 10,Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,,GO:0003676,ENST00000529842.5;ENST00000531537.5;
O15067,PUR4_HUMAN,PFAS KIAA0361,Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase) (Phosphoribosylformylglycineamide amidotransferase),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062],GO:0004642; GO:0005524; GO:0005737; GO:0005829; GO:0006164; GO:0006177; GO:0006189; GO:0006541; GO:0009168; GO:0009410; GO:0044208; GO:0046872; GO:0070062; GO:0097065; GO:0097294,ENST00000314666.11;
O60682,MUSC_HUMAN,MSC ABF1 BHLHA22,Musculin (Activated B-cell factor 1) (ABF-1) (Class A basic helix-loop-helix protein 22) (bHLHa22),Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus.,chromatin [GO:0000785]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],GO:0000785; GO:0000977; GO:0000978; GO:0000981; GO:0001227; GO:0003161; GO:0003700; GO:0005634; GO:0005654; GO:0006355; GO:0006357; GO:0007519; GO:0014707; GO:0046983; GO:0060021; GO:0060539; GO:1990830; GO:1990837,ENST00000325509.5;
Q2NKJ3,CTC1_HUMAN,CTC1 C17orf68,CST complex subunit CTC1 (Conserved telomere maintenance component 1) (HBV DNAPTP1-transactivated protein B),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19854130}. Chromosome, telomere {ECO:0000269|PubMed:19854130}. Note=A transmembrane region is predicted by sequence analysis tools (ESKW, MEMSAT and Phobius); however, given the telomeric localization of the protein, the relevance of the transmembrane region is unsure in vivo. {ECO:0000305}.","chromosome, telomeric region [GO:0000781]; CST complex [GO:1990879]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]",GO:0000723; GO:0000781; GO:0003697; GO:0005634; GO:0005654; GO:0005829; GO:0006974; GO:0010389; GO:0010833; GO:0016233; GO:0032211; GO:0035264; GO:0042162; GO:0045740; GO:0048146; GO:0048536; GO:0048538; GO:0048539; GO:0071425; GO:0090399; GO:0098505; GO:1990879,ENST00000449476.7 [Q2NKJ3-2];ENST00000651323.1 [Q2NKJ3-1];
Q8N9E0,F133A_HUMAN,FAM133A,Protein FAM133A,Homo sapiens (Human),,,,ENST00000322139.4;ENST00000332647.5;ENST00000683942.1;
Q96GD4,AURKB_HUMAN,AURKB AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5,Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20959462}. Chromosome {ECO:0000269|PubMed:20929775}. Chromosome, centromere {ECO:0000269|PubMed:11756469, ECO:0000269|PubMed:12925766, ECO:0000269|PubMed:20929775}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:26829474}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:11516652, ECO:0000269|PubMed:12458200, ECO:0000269|PubMed:12925766, ECO:0000269|PubMed:20605920}. Midbody {ECO:0000269|PubMed:16179162, ECO:0000269|PubMed:17726514, ECO:0000269|PubMed:23036704}. Note=Localizes on chromosome arms and inner centromeres from prophase through metaphase and then transferring to the spindle midzone and midbody from anaphase through cytokinesis (PubMed:20929775). Colocalized with gamma tubulin in the midbody (PubMed:17726514). Proper localization of the active, Thr-232-phosphorylated form during metaphase may be dependent upon interaction with SPDYC (PubMed:20605920). Colocalized with SIRT2 during cytokinesis with the midbody (PubMed:17726514). Localization (and probably targeting of the CPC) to the inner centromere occurs predominantly in regions with overlapping mitosis-specific histone phosphorylations H3pT3 and H2ApT12 (PubMed:20929775). {ECO:0000269|PubMed:17726514, ECO:0000269|PubMed:20605920, ECO:0000269|PubMed:20929775}.","centrosome [GO:0005813]; chromocenter [GO:0010369]; chromosome passenger complex [GO:0032133]; condensed chromosome, centromeric region [GO:0000779]; cytosol [GO:0005829]; kinetochore [GO:0000776]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; mitotic spindle midzone [GO:1990023]; mitotic spindle pole [GO:0097431]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; spindle microtubule [GO:0005876]; spindle midzone [GO:0051233]; spindle pole [GO:0000922]",GO:0000122; GO:0000278; GO:0000281; GO:0000776; GO:0000779; GO:0000922; GO:0002903; GO:0004674; GO:0004712; GO:0005524; GO:0005634; GO:0005654; GO:0005813; GO:0005819; GO:0005829; GO:0005876; GO:0007051; GO:0007052; GO:0010369; GO:0015630; GO:0019900; GO:0030496; GO:0031117; GO:0032133; GO:0032206; GO:0032465; GO:0032466; GO:0032467; GO:0034501; GO:0034644; GO:0036089; GO:0043687; GO:0044839; GO:0044878; GO:0045824; GO:0051233; GO:0051256; GO:0051983; GO:0061952; GO:0062033; GO:0090267; GO:0090307; GO:0097431; GO:0106310; GO:0140273; GO:0160049; GO:1901796; GO:1901970; GO:1902425; GO:1903490; GO:1905116; GO:1990023; GO:1990758,ENST00000316199.10 [Q96GD4-5];ENST00000534871.5 [Q96GD4-4];ENST00000578549.5 [Q96GD4-2];ENST00000585124.6 [Q96GD4-1];
